|0000|015|0|01122021|31122021|POMPEIA SA INDUSTRIA E COMERCIO|59775478000721||SP|548004074110|3540002|||A|0|
|0001|0|
|0002|00|
|0005|JAZAM|17580000|AVENIDA INDUSTRIAL|208||DISTRITO INDUSTRIAL|51434052000|51434052001|JAZAM@JAZAM.COM.BR|
|0015|AP|030514363|
|0015|MG|0025414950067|
|0015|RJ|11314970|
|0015|PR|0990462100|
|0015|RS|9000021354|
|0015|DF|0788082500159|
|0100|VICTOR CARLOS MONTEIRO PAIVA|48770590834|1SP069844O5|54705777000180|17509210|AVENIDA IPIRANGA|65||CENTRO|1434532121|1434532121|victorpaiva@contabilassessoria.com.br|3529005|
|0150|SA10100005201|A-TABUENSE PRODUTOS ALIMENTICIOS LTDA - EPP|1058|47456397000194||336140320116|3518800||AV DONA EUGENIA MACHADO DA SILVA|355||VILA GALVAO|
|0150|SA10100010301|A LEITE REPRESENTACOES - EIRELI|1058|63592448000242||0100313500270|1200401|200400240|RUA ANTONIO DA ROCHA VIANA|SN||SANTA QUITERIA|
|0150|SA10100025301|A S SARTORI E CIA LTDA|1058|94254463000123||1530098340|4322400||RUA FLORES DA CUNHA|3465||SAO MIGUEL|
|0150|SA10100026401|ABASTECEDORA DE PRODUTOS ALIMENTICIOS AVELOZ LTDA - EPP|1058|04855414000153||669484800114|3552205||RUA ESTADOS UNIDOS|SN||VILA FRANCO|
|0150|SA10100038301|A F GARCIA & CIA LTDA|1058|32937427000107||130449806|5103809||RUA SANTA CATARINA , 307|SN||CENTRO|
|0150|SA10100065701|COMERCIO DE DOCES JUPITER LTDA|1058|72053051000192||2080331587|4127106||AV. MARECHAL FLORIANO PEIXOTO, 296|SN||ALTO DAS OLIVEIRAS|
|0150|SA10100078801|ALITA DISTR. DE ARMARINHOS E EMBALAGENS LTDA|1058|65822355000101||396025892112|3524808||AVENIDA PAULO MARONDES|221||PARQUE INDUSTRIAL|
|0150|SA10100080601|MACRO ATAC KROLOW LTDA|1058|01060735000173||0930333020|4314407||AVENIDA ENGENHEIRO ILDEFONSO SIMOE|41||TRES VENDAS|
|0150|SA10100091001|AMARO S VARGAS E CIA LTDA|1058|89940993000195||1650024891|4300604||TRAV TARUMA|70||VL AGRITER|
|0150|SA10100093201|DISTRIBUIDORA DE DOCES E EMBALAGENS GIROTTO LTDA|1058|79226502000195||251262871|4204202||RUA URUGUAI|420|- LETRA E SALA 02|SANTA MARIA|
|0150|SA10100093901|AMERICA DOCES LTDA - EPP|1058|03435614000194||082019460|3202405||R. SANTANA DO IAPO, S/N|SN||MUQUICABA|
|0150|SA10100153701|ARLINDO T YAMASHITA|1058|44184968000190||541004496115|3539202||RUA RUI BARBOSA|928||CENTRO|
|0150|SA10100162401|ARROBA  EMBALAGENS LTDA|1058|03411217000182||535242282112|3538709||AV.MADRE MARIA TEODORA|211||JARAGUA|
|0150|SA10100175301|AURIMAR ALIMENTOS LTDA EPP|1058|02632045000104||253593484|4210100||RUA JOSE FROSCH|594|SALA 02|RESTINGA|
|0150|SA10100177901|AUTO SERVICO LEONARDO LTDA|1058|39312236000107||081602871|3205002||R: DOS CRAVOS|71B||FEUROSA|
|0150|SA10100190501|BARRANCO LTDA|1058|19387018000116||6862763950026|3168606||AVE GETULIO VARGAS N.|1152||CENTRO|
|0150|SA10100191501|BASMAR - COMERCIO DE DOCES LTDA|1058|65792236000153||647194855116|3549805||AVENIDA MIRASSOLANDIA|700||JARDIM ANA CELIA|
|0150|SA10100194701|BEATRIZ DO ROCIO LEONARDI DALASTELLA|1058|84920420000186||1018677306|4106902||AV. MANOEL RIBAS|8.705|TERREO|SANTA FELICIDADE|
|0150|SA10100234601|BRASPORT COMERCIO DE DOCES LTDA|1058|52525995000108||626157729119|3547809||AVENIDA  ANTONIO CARDOSO|650||PARQUE JUCATUBA|
|0150|SA10100268401|CARLOS KAZUO KURIYAUMA - ME|1058|00029045000199||442075369110|3529401||AV. RAIMUNDO EDUARDO DA SILVA|44||JD. ZAIRA|
|0150|SA10100275201|CARVALHO & SANTANA LTDA|1058|03709642000152||52980664|2915601||PRACA NACOES UNIDAS|86||CENTRO|
|0150|SA10100276901|CASA DAS BALAS LTDA|1058|05163127000145||029302692|2606002||RUA EBENEZER FURTADO GUEIROS|234||SEVERINO DE MORAES FILHO|
|0150|SA10100279901|CASA DO BISCOITO DE BAURU LTDA - ME|1058|04716422000119||209321594110|3506003||AV. RODRIGUES ALVES|565||CENTRO|
